job_title,employment_type,company,salary,processed_salary,min_education_level,requirements
Software Engineer (Remote position available),Full time,PT Fajar Mulia Transindo,Rp 6.000.000 – Rp 8.000.000 per month,Rp. 7.000.000,,"Proficiency in Laravel, React JS, MySQL, and Git.Knowledge of webserver (Apache & Nginx) and UNIX operating systemMinimum of 2 years of relevant software development experience.Strong analytical skills, with the ability to swiftly grasp coding structures.Familiarity with processes such as code review, unit testing, and branch merging."
Full Stack Developer (Remote),Contract/Temp,Elisys Sistem Integrasi,Rp 5.000.000 – Rp 7.000.000 per month,Rp. 6.000.000,,Not Found
3D Architecture Visual Renderer/Artist,Full time,PT INTER TEKNO GRADIAN,Rp6.000.000 – Rp9.000.000 per month,Rp. 7.500.000,,Not Found
Marine Engineering Manager,Contract/Temp,PT. Egenkit Teknik Solusi,Rp 10.000.000 – Rp 15.000.000 per month,Rp. 12.500.000,,Not Found
Brand Manager (Skincare),Full time,PT.MYVENUS NETWORK INDONESIA,Rp 10.000.000 – Rp 15.000.000 per month,Rp. 12.500.000,,Not Found
Customer Success Specialist - Sport Tech Startup,Full time,PT Ayo Indonesia Maju (ayo.co.id),Rp 5.000.000 – Rp 7.000.000 per month,Rp. 6.000.000,,"Minimum 1 year of experience in customer service or a similar role.Proven ability to build strong relationships and provide exceptional customer support.Excellent communication and interpersonal skills, both written and verbal.Outgoing and friendly personality.Strong analytical and problem-solving skills.Proficient in using computers and comfortable learning new software tools.Passionate about sports and a strong understanding of the Indonesian sports landscape (a plus).Ability to work independently and manage multiple tasks simultaneously."
Mandarin Speaker in Education Field (Multiple Roles - Full Time),Full time,Elite Asia,Rp 5.000.000 – Rp 7.000.000 per month,Rp. 6.000.000,,"1. Experience in Applying to Chinese Universities with Scholarships: Prior experience successfully applying to Chinese universities with scholarships is highly preferred. Familiarity with the application process and scholarship opportunities is a significant advantage.
2. Fast Learner: The candidate should be a quick learner who can understand a large amount of dynamic information in a short period of time, digest them and explain them to the customers.
3. Responsiveness: Timely and effective communication is crucial. The candidate should be responsive to inquiries and able to provide prompt assistance to students and parents.
4. Resourcefulness: The ability to find solutions and workarounds to potential challenges or obstacles in the application process is essential. Resourcefulness in helping students secure scholarships and navigate complex procedures is a valuable skill.
5. Responsibility: Demonstrated responsibility in handling confidential student information, managing financial transactions, and ensuring all tasks are completed accurately and on time is required.
6. Mandarin Proficiency (HSK 4-6): Proficiency in Mandarin, typically at HSK 4 to 6, is essential, enabling effective communication with Chinese universities. Mandarin is also the working language in IndoPanda.
Remuneration: Basic Salary + Commission"
DEPUTY PROJECT MANAGER,Full time,PT Indocater,"Rp 30,000,000 – Rp 35,000,000 per month",Rp. 32.500.000,,Not Found
Real Estate Marketing (Placement in Bali),Part time,Toucan Bali Property,Rp 3.000.000 – Rp 3.500.000 per month,Rp. 3.250.000,,"Real estate marketing experience Strong communicationInterpersonal skills Proficiency in digital marketing toolsTechniques Knowledge of the real estate market trendsCustomer behavior Independent work ability Attention to detail and strong organizational skills Flexibility and adaptabilityMinimum 1 year of experience in Real StatePlacement in Kuta, Bali"
Personal Assistant,Full time,PT Sie Chantik SLR Indonesia,Rp 5.500.000 – Rp 7.500.000 per month,Rp. 6.500.000,,Not Found
Offline Marketing (Public Relations) Manager,Full time,PT Inspirasi Edukasi Indonesia,Rp 6.000.000 – Rp 9.000.000 per month,Rp. 7.500.000,,Experience in offline marketing.Deep understanding of the Indonesian market and its specifics.Creativity and ability to develop unique marketing strategies.Excellent communication skills and the ability to work in a team.Ability to analyze campaign results and make necessary adjustments.
Graphic & Social Media Designer,Full time,PT NITIFESE GLOBAL HORIZON,"Rp 3,500,000 – Rp 4,000,000 per month",Rp. 3.750.000,SMA,"- Pendidikan terakhir minimal SMA/SMK
- Dapat bekerja di bawah tekanan
- Dapat bekerja secara independent maupun dengan tim
- Berkarakter baik, jujur, bertanggung jawab, serta rajin
Apabila anda memiliki minat dan ketertarikan dalam bidang properti, kami mengundang anda untuk melamar pada posisi ini dan bergabung dalam tim kami di Polar Brand."
Customer Support and Sales Specialist,Full time,Private Advertiser,Rp 5.000.000 – Rp 6.500.000 per month,Rp. 5.750.000,S1,"2-3 years of experience in account management, customer service, or sales.Bachelor’s degree in Business, Marketing, or a related field.Fluent in English and Bahasa, with excellent communication skills (written and verbal).Proficiency with WhatsApp, email, and other communication tools.Independent, detail-oriented, and highly organized.Customer-first mindset with a proactive, solution-driven approach.Ability to work remotely."
Meeting Setter (Sales Team),Full time,Kreloses Teknologi,Rp 5.000.000 – Rp 7.500.000 per month,Rp. 6.250.000,,Not Found
Android Developer,Full time,PT Lifty Media Indonesia,Rp 10.000.000 – Rp 15.000.000 per month,Rp. 12.500.000,,"? Minimum 1 years of experience in Android development.
? Strong proficiency in Kotlin (minimum 2 years).
? Proven ability to write clean, efficient, and maintainable code.
? Experience with version control systems
? Strong problem-solving and debugging skills.
? Excellent communication and collaboration abilities.
? A passion for creating exceptional user experiences."
Graphic Designer (Offshore),Contract/Temp,PropNex Realty Pte Ltd,"$800 – $1,200 per month (SGD)",Rp. 11.816.000,,Not Found
Inside Sales Intern,Full time,PT Logique Digital Indonesia,Rp 1.400.000 – Rp 2.000.000 per month,Rp. 1.700.000,,"Currently pursuing or recently completed a degree in Business, Marketing, or IT-related field.Excellent verbal and written communication skills.Ability to work independently and collaboratively within a team.Strong organizational and time-management skills.Self-motivated, eager to learn, and results-driven."
Senior Key Account Sales Manager(Remote work),Full time,Speakly AI,"Rp 25,000,000 – Rp 37,000,000 per month",Rp. 31.000.000,,Not Found
UI/UX Designer-Mobile App Focus (Full Time),Full time,Coconut Lab Pte. Ltd.,"Rp 5,500,000 – Rp 7,000,000 per month",Rp. 6.250.000,,Not Found
Sales Admin,Full time,Shieldtag,Rp 2.500.000 – Rp 3.000.000 per month,Rp. 2.750.000,S1,"Bersedia bekerja pada shift malam dan setengah hari/full di akhir pekan.Gelar sarjana di bidang Administrasi Bisnis atau bidang terkait merupakan nilai tambah.Memiliki pengalaman minimal 1 tahun dalam layanan pelanggan, pengembangan bisnis, penjualan, atau manajemen akun.Mampu menangani 50+ tiket per hari dan menjaga catatan yang terorganisir dengan baik.Kemampuan berpikir kritis dan perhatian terhadap detail yang kuat.Keterampilan interpersonal dan komunikasi yang luar biasa, serta memahami praktik terbaik dalam layanan pelanggan.Mahir menggunakan Microsoft Office dan perangkat lunak CRM.Bersedia mempelajari produk solusi holografik dan keamanan.Termotivasi, berorientasi pada tujuan, dan mampu bekerja secara mandiri dalam lingkungan remote.Wajib menyelesaikan masa percobaan selama 3 bulan.Bersedia untuk mulai bekerja dalam 1 minggu atau segera."
Sales Representative,Full time,PT Woodgraft Putra Perkasa,Rp 6.000.000 – Rp 7.000.000 per month,Rp. 6.500.000,,Not Found
Sales Marketing Manager (WFH in Batam Area) - Steel Trading - Batam (B-113030),Full time,RGF HR Agent Indonesia,Rp 17.000.000 – Rp 20.000.000 per month,Rp. 18.500.000,,Not Found
Marketing Staff (WFH in Batam Area) - Steel Trading - Batam (B-113000),Full time,RGF HR Agent Indonesia,Rp 8.000.000 – Rp 11.000.000 per month,Rp. 9.500.000,,Not Found
Data & Market Insight Analyst,Full time,Private Advertiser,Rp 14.000.000 – Rp 20.000.000 per month,Rp. 17.000.000,,Not Found
Senior Digital Marketing,Full time,PT Logique Digital Indonesia,Rp 14.000.000 – Rp 20.000.000 per month,Rp. 17.000.000,S1,"Bachelor's degree in Marketing, Communications, Business, or a related field5+ years of experience in digital marketing, with a strong understanding of SEM, social media, and content marketingProficiency in digital marketing tools, such as Google Analytics, Google Ads, Facebook Business Manager, or similar platformsStrong analytical skills and the ability to interpret data to make informed decisionsFamiliarity with A/B testing, conversion rate optimization, and digital marketing best practicesCreative thinker with a data-driven mindsetCertifications in Google Analytics, Google Ads, or other digital marketing platforms are preferable"
Brand Graphic Designer,Full time,Design Elite,"Rp 8,000,000 – Rp 11,000,000 per month",Rp. 9.500.000,,Not Found
SEO Specialist Jakarta (Freelance Part-Time),Part time,Zhuan Marketing Agency Indonesia,"Rp 1,000,000 per month",Rp. 1.000.000,,"Pengalaman dalam SEO, khususnya dengan platform Squarespace.Terbiasa menggunakan tools AI untuk penulisan artikel SEO dan memiliki efisiensi tinggi dalam produksi konten.Punya jaringan backlink atau akses ke channel backlink yang relevan dan berkualitas.Pemahaman mendalam tentang algoritma Google dan teknik optimasi on-page & off-page."
Sales B2B Otomotif,Full time,PT Sunra Distributor Indonesia,Rp 4.400.000 – Rp 5.180.526 per month,Rp. 4.790.263,,Not Found
Sales Representative ( Work from home ),Full time,PT PCBA Semikonduktor Indonesia,Rp 4.500.000 – Rp 6.000.000 per month,Rp. 5.250.000,,"Work Arrangement: Fully remote (Work From Home).Preferred Experience: Background in sales and customer service is prioritized.Key Traits: Quick learner with the ability to adapt to new challenges.Location: Based in Cibitung, Cikarang, or Karawang.Transportation: Own transport is required for customer visits."
Assistant Project Manager (Software),Full time,PT Datacaraka Solusindo,Rp 8.300.000 – Rp 11.300.000 per month,Rp. 9.800.000,S1,"Candidate must possess at least Bachelor's Degree in Engineering (Computer/Telecommunication), Computer Science/Information Technology or equivalent.
Technical Skills Requirements:
At least 2 year(s) of working experience in the related field is required for this position.Familiar with software development projects.Having good understanding about IT Project Management methodologies (Waterfall, Agile, Scrum).Having good timeline and resource management skills.Certification in project management (CAPM, PMP, Project+) is a plus."
Technical Support (Domisili Bali),Contract/Temp,PT Inovasi Anak Indonesia (Parkee),Rp 4.500.000 – Rp 5.067.381 per month,Rp. 4.783.690,,Not Found
MEP Designer & Cost Estimator,Full time,Skhai,Rp 12.000.000 – Rp 18.000.000 per month,Rp. 15.000.000,,Not Found
Operations Manager (Bali Placement),Full time,PT Think Global Bali,Rp 16.000.000 – Rp 18.250.000 per month,Rp. 17.125.000,,3+ years of experience in a similar roleProficiency with Microsoft OfficeStrong organizational and communication skillsStrong ability to multitaskComfort working with multiple groups within businessQuick learning ability and ability to guide other's work
Senior & Junior Surveyor,Full time,Penyelidikan Geoteknik Indonesia,Rp 6.000.000 – Rp 9.000.000 per month,Rp. 7.500.000,S1,"Min. S1 GeodesiMampu mengoperasikan dan mengolah data Total Station, GPS Geodetic, dan Waterpass atau auto levelMampu mengoperasikan droneMemiliki SKK Geodesi Jenjang 7 (Sangat diutamakan)Mampu bekerja diremote area"
Fresh Graduate Management Training Program,Full time,Deliveree (PT Angkut Teknologi Indonesia),"Rp 5,000,000 – Rp 5,250,000 per month",Rp. 5.125.000,,"Undergraduate GPA of 3.0 or higher from any majorFresh graduates or candidates with 1-2 years of experience are welcome to applyExcellent English skillsExcellent speaking and writing skillsSelf-motivated, independent, and hard-workingStrong reasoning, logic, and analysis skills"
Senior Website Product Data Specialist,Full time,SCHNAP Electric Products,"Rp 10,000,000 – Rp 15,000,000 per month",Rp. 12.500.000,,Not Found
Help Desk Technician,Full time,PT John Galt Properties,Rp 13.500.000 – Rp 20.000.000 per month,Rp. 16.750.000,,Not Found
Procurement Supervisor,Full time,PT. Indo Trans Teknologi,Rp 8.000.000 – Rp 10.000.000 per month,Rp. 9.000.000,,Not Found
Application Support,Contract/Temp,PT Swadharma Duta Data,Rp 6.700.000 – Rp 10.000.000 per month,Rp. 8.350.000,,Not Found
Junior Accountant,Full time,PT EDPMEDIA Multimitra Primanusa,Rp 8.500.000 – Rp 9.500.000 per month,Rp. 9.000.000,S1,"Sarjana Akuntansi Strata satu (S1) , IPK kumulatif minimal 3.5Pengalaman kerja yang relevan  2 tahun, bagi yang berdomisili di Jakarta Barat akan di utamaka"
Swift Developer,Full time,PT Jawa Soft,"Rp 8,000,000 – Rp 12,000,000 per month",Rp. 10.000.000,,"Proven experience with SwiftUI, ideally for MacOS developmentStrong knowledge of Swift and Objective-C programming languagesFamiliarity with Core Data for data persistence and managementExcellent problem-solving skills and a keen eye for detailStrong written and verbal communication skills in English"
Full Stack Developer,Full time,Invitario,"Rp 7,000,000 – Rp 10,000,000 per month",Rp. 8.500.000,,Not Found
Software Team Lead,Full time,Invitario,"Rp 10,000,000 – Rp 15,000,000 per month",Rp. 12.500.000,,Not Found
Young Professionals Fast Track,Full time,Deliveree (PT Angkut Teknologi Indonesia),"Rp 6,000,000 – Rp 9,000,000 per month",Rp. 7.500.000,,"Undergraduate GPA 3.0 or higher6-24 months of full-time work experience (contract work is acceptable)Excellent English skillsExcellent speaking and writing skillsSelf-motivated, independent, and hard-workingStrong reasoning, logic, and analysis skills"
Full-Stack Web Developer,Full time,Clickpilot Pty Ltd,"Rp 9,000,000 – Rp 13,000,000 per month",Rp. 11.000.000,,Not Found
Technical Support Engineer,Contract/Temp,PT Inovasi Anak Indonesia (Parkee),Rp 5.000.000 – Rp 6.000.000 per month,Rp. 5.500.000,,Not Found
Cloud Engineer (Kubernetes),Contract/Temp,PT Karya Solusi Prima Sejahtera,Rp 9.000.000 – Rp 9.500.000 per month,Rp. 9.250.000,,"Cloud Services :  Understanding of Infrastructure as a Service (IaaS) and Platform as a Service (PaaS)Virtualization : deep Understanding of Virtualization concept such as VMware and OpenstackNetworking : understanding of networking concepts and protocols, can implement basic switching and routingStorage : having knowledge to configure  SAN and NAS StorageContainerization : Having knowledge to Provisioning and management of container orchestration platforms, such as Kubernetes, to automate deployment, scaling, and management of containerized applicationsSecurity : understanding of cloud security principlesOperating System : having knowledge to configure basic administration of windows server and linux server , for example : config IP Address, remote Desktop, ssh, firewall and LVMHardware Management : having knowledge to Maintaining an up-to-date inventory of hardware assets, including servers, Storage, GPU , networking equipment, and peripherals."
Marketing and PR Manager,Full time,PT Seacrest Real Estate,Rp 8.000.000 – Rp 12.000.000 per month,Rp. 10.000.000,,Not Found
Accountant (remotely),Full time,PT. MATCH MAKERS AGENCY,Rp 5.000.000 – Rp 6.000.000 per month,Rp. 5.500.000,,Not Found
Supervision,Full time,PT Daikin Airconditioning Indonesia,Rp 9.500.000 – Rp 10.700.000 per month,Rp. 10.100.000,S1,"Diploma/ Bachelor Degree From EngineeringGood ability on Microsoft Office,Detail oriented, fast-learner, and team playerGood English Communication Skill"
Graphic Designer Jakarta (Freelance Part Time),Part time,Zhuan Marketing Agency Indonesia,Rp 1.000.000 per month,Rp. 1.000.000,,"Mahir menggunakan Canva, mampu memanfaatkan template dengan baik tanpa harus mulai dari nol setiap saat.Fast response: siap memberikan respons cepat untuk setiap revisi atau request.Pengalaman membuat desain yang menarik dan kreatif untuk media sosial.Siap mendesain sekitar 50 feed per bulan untuk satu brand, fokus pada kualitas dan konsistensi visual."
Sales Executive,Full time,Sava Catering,Rp 2.000.000 – Rp 3.000.000 per month,Rp. 2.500.000,,Not Found
Finance Associate,Full time,CFO Assist Pte. Ltd.,"Rp 14,000,000 – Rp 21,000,000 per month",Rp. 17.500.000,,Not Found
Indonesian VA - Link Building Assistant,Full time,REBEL Internet BV,$1.25 per hour (USD),Rp. 475.950.000,,"Minimum of 2 years of experience working online in SEO or a related field.
Proficient in English, with excellent written communication skills.
Familiarity with Trello.
Strong attention to detail and ability to follow instructions."
Outbound Sales Representative,Full time,Fausto Automation,"Rp 3,500,000 per month",Rp. 3.500.000,,"* At least 1 year of sales experience, cold-calling experience is a plus.
* Excellent communication skills in English, both written and verbal.
* Results-driven with a track record of performing well in high-paced, goal-oriented environments.
* Experience with CRM tools is a plus."
admin,Full time,Private Advertiser,Rp 2.000.000 – Rp 3.000.000 per month,Rp. 2.500.000,,•Language Skills:Excellent written and spoken English is essential. You should be able to write fluently and confidently to match the platform’s professional and engaging tone.
Staff Techonology IT.,Full time,PT Biota Laut Ganggang (Pinrang),Rp 3.434.298 – Rp 5.151.447 per month,Rp. 4.292.872,S1,"Pendidikan minimal S1 dalam bidang Komputer, Jaringan, atau TelekomunikasiPengalaman kerja terkait minimal 1 tahun, mampu menggunakan bahasa Inggris dasar untuk komunikasi harian dan tulisanMemiliki pengalaman dalam implementasi proyek jaringan dan mampu menyelesaikan perubahan dan pemeliharaan jaringan secara mandiri adalah nilai tambahMenguasai produk jaringan dari Mikrotik, Cisco, UBNT, dan mampu mengonfigurasi serta menguji router, switch, firewall, dan produk jaringan lainnyaJujur dan dapat dipercaya, ramah, memiliki sikap positif, bekerja dengan serius dan bertanggung jawab, memiliki semangat kerja keras, inisiatif tinggi dalam melayani, serta kemampuan teknis yang baikMemahami metode analisis diagnosis masalah/kerusakan/potensi risiko jaringan, serta metode optimalisasi kinerja dan kualitas jaringanMemiliki pengetahuan dasar tentang listrik lemah dan pengalaman kerja terkaitMemahami teknik penanganan masalah sehari-hari untuk sistem akses kontrol dan pengawasan videoMenguasai perangkat keras dan perangkat lunak komputer serta perangkat IT kantor lainnya"
Video Editor (Offshore),Contract/Temp,PropNex Realty Pte Ltd,$600 – $900 per month (SGD),Rp. 8.862.000,,Not Found
Second Level Maintenance (SLM) - Managed Service,Contract/Temp,PT Brinks Solutions Indonesia,Rp 5.000.000 – Rp 5.100.000 per month,Rp. 5.050.000,,Not Found
IT Support,Contract/Temp,PT. Bali Ria Internasional,Rp 3.500.000 – Rp 4.500.000 per month,Rp. 4.000.000,,Not Found
"Legal and Visa Staff, Administrator, Bali",Casual/Vacation,PT Infinity Development and Investments,Rp 4.000.000 – Rp 5.000.000 per month,Rp. 4.500.000,,Not Found
video editor,Full time,PT Sho Media Productions,Rp 3.400.000 – Rp 5.000.000 per month,Rp. 4.200.000,,Not Found
IT Support,Full time,PT Buka Tutup Pintu,Rp 4.000.000 – Rp 4.500.000 per month,Rp. 4.250.000,,Not Found
Property Sales Specialist (Remote),Full time,Rosaria Villas,Rp 1.500.000 – Rp 2.000.000 per month,Rp. 1.750.000,,"Valid real estate broker license in the relevant jurisdiction.Proven experience in lead generation and real estate sales.Excellent communication, networking, and negotiation skills.Ability to work independently and handle multiple priorities.Familiarity with real estate CRM and lead management tools.
Preferred Skills:
Expertise in digital marketing for lead generation.Experience in luxury or commercial property markets.Fluency in multiple languages is a plus."
"Digital Creative Specialist (Full Time, Remote)",Full time,AMI Financial Solutions,Rp 6.700.000 – Rp 10.000.000 per month,Rp. 8.350.000,,Not Found
Business Support Assistant (Remote/WFH),Full time,PT Cekindo Business International,Rp 15.000.000 – Rp 22.000.000 per month,Rp. 18.500.000,,Not Found
Team Manager (Fully Remote),Full time,My Free Course,"Rp 10,172,619 – Rp 15,258,928 per month",Rp. 12.715.773,S1,"Bachelor's degree or equivalent.At least 5 years+ of experience in a team management role and/or higher.Fluency in English, both written and spoken.Excellent communication and interpersonal skills.Strong leadership and organisational abilities.Proven ability to manage multiple projects simultaneously.Experience working remotelyExperience in Google Workspaces and Microsoft Software (Word, Excel and PowerPoint)Experience with CRM systemsUnderstanding of KPIs and performance managementA strong understanding and proven track record in sales and real-world experience of this."
Digital Marketing Specialist,Contract/Temp,The Well & Co Pty Ltd.,"Rp 4,950,000 per month",Rp. 4.950.000,,Not Found
Interior Architect,Full time,VONSUNG,Rp 7.000.000 – Rp 10.000.000 per month,Rp. 8.500.000,,Not Found
Accounting Executive,Full time,PT JAY ISLAND GROUP,Rp 7.000.000 – Rp 10.000.000 per month,Rp. 8.500.000,,"Proficiency in accounting software (Xero).Strong analytical and problem-solving skills.Excellent attention to detail and accuracy.Ability to work under pressure and meet tight deadlines.Proficiency in Microsoft Office Suite, especially Excel.A strong cultural fit with the Company, exhibiting adaptability, integrity, and a robust work ethic.Demonstrated commitment to ethical behavior and alignment with the Company's core values of ownership, transparency, and progressiveness."
IT Support,Full time,PT Sega Agro Perdana,Rp 3.500.000 – Rp 5.000.000 per month,Rp. 4.250.000,,Not Found
senior marketing,Full time,Siloina,Rp 7.000.000 – Rp 10.000.000 per month,Rp. 8.500.000,,"Proven experience as a Marketing Assistant or in a similar digital marketing role.Proficiency in WordPress, including basic website maintenance and SEO optimisation.Strong skills in Google Ads and Meta Ads (Facebook/Instagram), with a good understanding of targeting, bidding, and performance tracking.Experience creating and scheduling social media content across multiple platforms.Knowledge of digital marketing analytics tools (Google Analytics, Meta Insights) to evaluate and report on campaign success.Ability to conduct thorough competitor research and provide data-driven recommendations.Excellent organisational skills, attention to detail, and ability to manage multiple tasks effectively.Strong communication and teamwork skills with a proactive, self-starting attitude."
Customer Service Agent,Full time,Deliveree (PT Angkut Teknologi Indonesia),"Rp 5,000,000 – Rp 6,000,000 per month",Rp. 5.500.000,D3,"No minimum or maximum year of working experienceMinimum education of a 3-year diploma degree (D3) or aboveGPA 3.0 or higherAll majors welcome to applyGood English skillsGood speaking and writing skillsFast typing skillsWilling to work on shifted scheduleSelf-motivated, independent, and hardworkingMultitasking skills and detail-oriented"
