Job Title,Job Category,Company Name,Salary,Requirements
Business Development Manager,Full time,THE MUSIC WORKS PTE. LTD.,"Rp 9,000,000 – Rp 12,000,000 per month",Not Found
Sales Executive  (Remote Work Opportunity),Full time,PT JAC Consulting Indonesia,Rp 20.000.000 – Rp 25.000.000 per month,Not Found
Kerja Remote Freelance WFH Host Live Streaming,Full time,BlueMeteor,Rp 3.500.000 – Rp 5.000.000 per month,"Memiliki Hp Tipe Android
Pendaftaran gratis
kami tidak melihat Ijasah semua bisa,
tanpa pengalaman
yang paling penting percaya diri dan tidak pemalu no drama and open mind please
Terbiasa tampil di depan kamera"
Sales Manager (remotely),Full time,PT. MATCH MAKERS AGENCY,Rp 4.000.000 – Rp 5.500.000 per month,"Proficiency in EnglishMinimum of 2 years of experience in sales, particularly in servicesEnergetic and reliableStrong communication and negotiation skills"
Sales and Service Coordinator (Remote/WFH),Full time,RemoHires,Rp7.000.000 – Rp8.000.000 per month,"Proven experience in telemarketing, customer service, or scheduling roles, with a strong preference for candidates with cold-calling experience.Exceptional communication and interpersonal skills with a customer-centered approach, capable of building positive relationships and managing customer inquiries effectively.High proficiency in both verbal and written English, enabling clear and professional communication with customers and team members.Demonstrated selling skills, especially in conducting cold calls, engaging clients, and guiding them through the sign-up process.Strong data management skills with advanced proficiency in Excel or Google Sheets for accurate record-keeping and organization.Detail-oriented with the ability to manage a high volume of customer information and maintain well-organized, accurate records.Willingness to work overnight hours (9 PM to 5 AM) to effectively support clients in different time zones.Self-motivated and able to work independently in a remote environment, with a proactive approach to problem-solving and task completion.
Device Requirements:
Reliable computer/laptop with updated processor and operating systemStable connection with at least 10 Mbps download speedNoise-canceling headset with microphone"
"Tech Lead, Digital Venture",Contract/Temp,CP AXTRA PUBLIC COMPANY LIMITED,,"Good communicate in English being able to communicate different team and stakeholder within the company.Experience and in-depth knowledge in backend OOP languages preferably Node.js, or open sources technologiesExperience with relational databases query such as SQL, MySQL, PostgreSQLFamiliar with GitOps environment such as ArgoCD, Kubestack , or similarExperience in automation code deployments or tools such as Jenkins, GitLab, or similar.Experience in container technologies such as Docker, Kubernetes or similar.Experience in complex systems, understanding the latest in open API standards and service-oriented architecture"
Recruitment Consultant,Full time,Geekhunter,,Not Found
ERP Consultant (Japanese Speaker) - Jakarta - Remote Work,Contract/Temp,PT. PERSOLKELLY Recruitment Indonesia,Rp 20.000.000 – Rp 30.000.000 per month,"Minimum bachelor’s degree or equivalentAt least 2 years of experience in related fields such as Finance & Accounting, Sales, Procurement, Production, Logistics, or ITProfessional proficiency in Japanese (JLPT N2 or N1 required)Proficient in Microsoft OfficeStrong interpersonal skills and a good team player"
"Coconut Lab Invites Fullstack Developer (Remote, Indonesia)",Full time,Coconut Lab Pte. Ltd.,,"Strong proficiency in React.js and its ecosystemExperience with React Native mobile developmentExpert knowledge in Laravel or Node.js backend developmentExperience with RESTful API design and implementationSolid understanding of database design (MySQL, PostgreSQL)Proficiency in writing unit tests and integration testsVersion control with Git and GitHub workflowStrong command of English for effective communication"
Cloud Engineer (Remote/WFH),Full time,RemoHires,Rp 8.000.000 – Rp 10.000.000 per month,"Bachelor’s degree in Computer Science, Engineering, or related field (or equivalent experience).3+ years in cloud infrastructure, DevOps, or system engineering, with experience advising on cloud strategy.Demonstrated expertise with a major cloud provider (AWS, Azure, or Google Cloud).Proficiency in cloud platforms, infrastructure as code (Terraform, CloudFormation), and containerization tools (Docker, Kubernetes).Strong scripting skills (e.g., Python, Bash, PowerShell) for automation.Solid understanding of networking (DNS, VPN, VPC, load balancing) and cloud security best practices.AWS Certified Solutions Architect, Microsoft Certified: Azure Solutions Architect, or similar.
Requirements:
Analytical skills and strategic thinking to assess and recommend cloud solutions.Strong communication skills for explaining complex technical concepts to clients and collaborating across teams.Self-motivated, able to work effectively in a remote environment."
Sales Marketing,Full time,PT. Osell Selection Indonesia,Rp 4.700.000 – Rp 5.000.000 per month,"Age: 20 - 33 years oldActive English is preferredMinimum High School GraduateHave experience of at least 1 year in the sales and marketing fieldGood communication and negotiation skillsHonest and Good working attitudeExperience in e-commerce, internet, or trade industry is preferredHaving channel / database of household appliance stores / beauty stores / glassware stores / electronics stores in SurabayaHaving own vehicles and SIM C (Required for remote working system)Willing to join immediately"
Sound Designer (Remote),Contract/Temp,PT Sepuluh Sebelas Agensi,,Not Found
Programmer (.NET)  Software Developer (Full Remote),Contract/Temp,PT Profescipta Wahanatehnik,"IDR 6,000,000 - 7,000,000","Minimum 2 year experience in software development process. Freshgraduate are welcome to apply.Candidate must possess at least an Associate Degree from information system or related fields,Familiarity on SDLC process and agile tools,Proficiency in .NET framework and C#,Possesses strong logic and algorithm design,Strong teamwork attitude, independent, and familiar with agile environment."
Front End Developer - Experienced,Full time,PT Gajah Agung Mandiri,Rp 9.000.000 – Rp 13.500.000 per month,"Candidate must possess at least Bachelor's Degree in Engineering (Computer/Telecommunication) or equivalent.Required language(s): EnglishAt least 5 Year(s) of working experience in the related field is required for this position.Required Skill(s): HTML, CSS, Bootstrap,Java Script, React JS, React - Next Js , Mobile Native & Web3 Js (optional )React Native / Android or IOS knowledge ( Kotlin/Swift)  is an advantage.All Frontend Integrations to back end.REST API/GRAPH QL.
Web 3 Integrations knowledge is also an advantage."
Junior Accountant - Manufacturing Industry - Remote Work,Contract/Temp,PT. PERSOLKELLY Recruitment Indonesia,Rp 6.000.000 – Rp 8.500.000 per month,"Bachelor's degree, preferably in Accounting, Business Administration, or related fields.1 year of proven working experience in Accounting.Fresh Graduates with strong academic achievement are also welcome to apply.Proficiency with Microsoft Office products (Word, Outlook, Excel).  Previous experience in Netsuite is preferredAbility to communicate clearly with excellent verbal, written, and listening skillsAbility to work as an individual contributor and as a valued participant in a team-based environmentA high degree of accuracy and attention to detailHigh Integrity, Proactive, and Willingness to learn is a MUST"
Personal Assistant,Full time,Production House,Rp 20.000.000 – Rp 25.000.000 per month,Not Found
QA Auditor,Full time,PT Sriboga Marugame Indonesia,,"Having experience as Quality Assurance in Restaurant/Hospitality/Retail business minimum 2 year.Minimum Bachelor’s degree preferably in Food Technology, Biotechnology or similar.Fluent in Sistem Jaminan Halal, Audit Food Safety, HACCP/GMP/ISO22000.Good Communication in English both oral and written."
Head District Plantation,Full time,ASIA PULP AND PAPER,,Not Found
Senior Accountant for Overseas Project (English Speaker),Contract/Temp,PT Sinyu Investasi Grup,,Not Found
Software Engineer (Remote position available),Full time,PT Fajar Mulia Transindo,Rp 6.000.000 – Rp 8.000.000 per month,"Proficiency in Laravel, React JS, MySQL, and Git.Knowledge of webserver (Apache & Nginx) and UNIX operating systemMinimum of 2 years of relevant software development experience.Strong analytical skills, with the ability to swiftly grasp coding structures.Familiarity with processes such as code review, unit testing, and branch merging."
Java Developer,Full time,PT Bursa Komoditi Dan Derivatif Indonesia,,"Experience as Java Developer with over 3 years of experience in the Financial services industry.Bachelor Degree in Computer Science or equivalentExpertise in Microservices Architecture, high-frequency messaging systems, and API/WebSocket development. Demonstrated ability to design and implement robust, scalable solutions using Java and Kotlin, with a deep understanding of Computer Science fundamentals. Strong advocate for Test-Driven Development (TDD) and Agile methodologies.Proficient in Java Ecosystem: SE/ EE, KotlinSolid experience with Java using Maven, Spring Boot, Hibernate, JPAExtensive experience in designing and developing Microservices-based architecturesKnowledge of Kafka, RabbitMQ for high-throughput messaging and event-driven systemsExpertise in RESTful APIs, WebSocket, Web APIs for real-time data communicationStrong experience with SQL, MySQL, PostgreSQL, database schema design, and optimizationTest-Driven Development (TDD) with JUnit, Mockito, experience with CI/CD pipelines (Jenkins, GitLab CI)Proficient in Git, GitHub, GitLab for source code managementHands-on experience with Agile/Scrum processes, using tools like Jira for project management and issue trackingAny industry certifications will be an added advantage."
Principal Engineer,Full time,"UpperGround by Hudson - Technology, Projects & Transformation",Attactive salary package and bonus scheme (AUD),"Degree in computer science, software engineering, machine learning, mathematics, or a related discipline.10+ years of relevant programming experience with a proven track record in software development.Proficiency in Java, Spring Boot, and microservices architecture.Experience in relational database design and management, and databases like MongoDB or DynamoDB for flexible data storage.Skilled at accurately estimating development and testing efforts.Familiar with the latest industry trends and development methodologies.Ability to influence and execute across teams.Strong mentoring skills.Capability to translate strategy into execution.
Your Personal Qualities:
Strong decision-making skills.Collaborative and cooperative.Excellent at building rapport and achieving consensus across teams.Proficient in navigating ambiguity and bridging gaps in understanding.
Are you a skilled Principal Engineer ready to lead and innovate? Join Nuix, where diversity and inclusion are at the heart of their culture. Apply now to drive impactful projects in a supportive environment that values your expertise and fosters your professional growth. Seize this opportunity to move to Australia-apply today and be a part of Nuix's success story!"
IT Technology Analyst (Contract Position),Contract/Temp,PT Bredero Shaw Indonesia,,"The candidate must possess at least Bachelor Degree in Information Technology.At least 5 Year(s) of working experience in the similar role.Experience in a customer facing IT or engineering related companyFamiliarity and prior usage of windows operating systems, MS Office365, One Drive, Networking and Basic Wiring, PC and Laptop Hardware, Wireless and Access Point Technology, Basic Active Directory, Helpdesk Management System, Video Conferencing, Desktop Imaging, Remote Support, VoIP Phone System, MS Teams, Desktop Firewalls.Excellent communications skills; Good English language both oral & written; Team & Independent worker; Attention to details; Time Management; Ability to work with minimum supervision."
SALES ENGINEER for HV/EHV Product,Full time,PT. TRI MITRA ELEKTRIK,,"S1 in Electrical/Electronic/MechanicalGood communication, presentation and fluent in English.Excellent in MS Office particularly Microsoft Excel.Minimum 5 years experience in selling HV/EHV Transmission & Substation products to PLN UIP/UIT and Power Generation/IPPAge between 30 – 45 years (retiree also welcome)Customer focus and willing to travel within Indonesia/overseas.Dynamic and hard worker.Have own vehicle."
Full Stack Developer (Remote),Contract/Temp,Elisys Sistem Integrasi,Rp 5.000.000 – Rp 7.000.000 per month,Not Found
3D Architecture Visual Renderer/Artist,Full time,PT INTER TEKNO GRADIAN,Rp6.000.000 – Rp9.000.000 per month,Not Found
Marine Engineering Manager,Contract/Temp,PT. Egenkit Teknik Solusi,Rp 10.000.000 – Rp 15.000.000 per month,Not Found
Brand Manager (Skincare),Full time,PT.MYVENUS NETWORK INDONESIA,Rp 10.000.000 – Rp 15.000.000 per month,Not Found
Customer Success Specialist - Sport Tech Startup,Full time,PT Ayo Indonesia Maju (ayo.co.id),Rp 5.000.000 – Rp 7.000.000 per month,"Minimum 1 year of experience in customer service or a similar role.Proven ability to build strong relationships and provide exceptional customer support.Excellent communication and interpersonal skills, both written and verbal.Outgoing and friendly personality.Strong analytical and problem-solving skills.Proficient in using computers and comfortable learning new software tools.Passionate about sports and a strong understanding of the Indonesian sports landscape (a plus).Ability to work independently and manage multiple tasks simultaneously."
Internal Audit Manager,Full time,CINEPOLIS INDONESIA,,"Bachelor's degree in Accounting, Finance, Business Administration, Master Degree will be Advantage.Professional certification such as COSO, ISO, CPA, CIA, or CISA will be an advantage.3 years experience implementing processes and conducting audits in international companies, 2 years in a Big 4 firm preferred.Strong understanding of auditing standards, risk management, financial reporting, and corporate governance.Familiarity with Indonesian laws and regulations concerning internal controls, financial audits, and compliance.Ability to analyze complex data, identify discrepancies, and recommend solutions for improving processes and risk management.Willing to travel across Indonesia with high frequency.Excellent communication skills to present findings and recommendations to senior management.Excellent technical skill in Microsoft Excel for data analytics.Excellent communication and presentation skills in English."
Mandarin Speaker in Education Field (Multiple Roles - Full Time),Full time,Elite Asia,Rp 5.000.000 – Rp 7.000.000 per month,"1. Experience in Applying to Chinese Universities with Scholarships: Prior experience successfully applying to Chinese universities with scholarships is highly preferred. Familiarity with the application process and scholarship opportunities is a significant advantage.
2. Fast Learner: The candidate should be a quick learner who can understand a large amount of dynamic information in a short period of time, digest them and explain them to the customers.
3. Responsiveness: Timely and effective communication is crucial. The candidate should be responsive to inquiries and able to provide prompt assistance to students and parents.
4. Resourcefulness: The ability to find solutions and workarounds to potential challenges or obstacles in the application process is essential. Resourcefulness in helping students secure scholarships and navigate complex procedures is a valuable skill.
5. Responsibility: Demonstrated responsibility in handling confidential student information, managing financial transactions, and ensuring all tasks are completed accurately and on time is required.
6. Mandarin Proficiency (HSK 4-6): Proficiency in Mandarin, typically at HSK 4 to 6, is essential, enabling effective communication with Chinese universities. Mandarin is also the working language in IndoPanda.
Remuneration: Basic Salary + Commission"
DEPUTY PROJECT MANAGER,Full time,PT Indocater,"Rp 30,000,000 – Rp 35,000,000 per month",Not Found
Field Sales Trainer - Across Indonesia Homebased,Full time,SKINTIFIC,,Not Found
Real Estate Marketing (Placement in Bali),Part time,Toucan Bali Property,Rp 3.000.000 – Rp 3.500.000 per month,"Real estate marketing experience Strong communicationInterpersonal skills Proficiency in digital marketing toolsTechniques Knowledge of the real estate market trendsCustomer behavior Independent work ability Attention to detail and strong organizational skills Flexibility and adaptabilityMinimum 1 year of experience in Real StatePlacement in Kuta, Bali"
Personal Assistant,Full time,PT Sie Chantik SLR Indonesia,Rp 5.500.000 – Rp 7.500.000 per month,Not Found
HR Operations,Contract/Temp,PT. AETHER DIGITAL INDONESIA,,"Strong oral, written, visual communications skillsAttention to detailsProfessional & Proactive work ethic"
"SENIOR SALES ENGINEER for SCADA (RTU), EFI and RELAY PROTECTION",Full time,PT. TRI MITRA ELEKTRIK,,Not Found
Offline Marketing (Public Relations) Manager,Full time,PT Inspirasi Edukasi Indonesia,Rp 6.000.000 – Rp 9.000.000 per month,Experience in offline marketing.Deep understanding of the Indonesian market and its specifics.Creativity and ability to develop unique marketing strategies.Excellent communication skills and the ability to work in a team.Ability to analyze campaign results and make necessary adjustments.
Graphic & Social Media Designer,Full time,PT NITIFESE GLOBAL HORIZON,"Rp 3,500,000 – Rp 4,000,000 per month","- Pendidikan terakhir minimal SMA/SMK
- Dapat bekerja di bawah tekanan
- Dapat bekerja secara independent maupun dengan tim
- Berkarakter baik, jujur, bertanggung jawab, serta rajin
Apabila anda memiliki minat dan ketertarikan dalam bidang properti, kami mengundang anda untuk melamar pada posisi ini dan bergabung dalam tim kami di Polar Brand."
Customer Support and Sales Specialist,Full time,Private Advertiser,Rp 5.000.000 – Rp 6.500.000 per month,"2-3 years of experience in account management, customer service, or sales.Bachelor’s degree in Business, Marketing, or a related field.Fluent in English and Bahasa, with excellent communication skills (written and verbal).Proficiency with WhatsApp, email, and other communication tools.Independent, detail-oriented, and highly organized.Customer-first mindset with a proactive, solution-driven approach.Ability to work remotely."
Salesforce Marketing Cloud/Pardot Expert,Full time,PT Datamine Software Indonesia,,"3+ years of experience working with Salesforce Marketing Cloud/Pardot.Strong understanding of email marketing, automation, and customer segmentationExperience in building and optimizing customer journeys in Salesforce Marketing CloudProficiency in data analysis with a focus on driving insights and campaign performance improvementsFamiliarity with Salesforce CRM and experience with lead management.Excellent organizational and project management skills.Experience with Microsoft Power BIHTML coding experience preferredSalesforce certifications (e.g., Marketing Cloud Email Specialist, Pardot Specialist) are a plus.Fluent in English & Bahasa"
Meeting Setter (Sales Team),Full time,Kreloses Teknologi,Rp 5.000.000 – Rp 7.500.000 per month,Not Found
Android Developer,Full time,PT Lifty Media Indonesia,Rp 10.000.000 – Rp 15.000.000 per month,"● Minimum 1 years of experience in Android development.
● Strong proficiency in Kotlin (minimum 2 years).
● Proven ability to write clean, efficient, and maintainable code.
● Experience with version control systems
● Strong problem-solving and debugging skills.
● Excellent communication and collaboration abilities.
● A passion for creating exceptional user experiences."
Graphic Designer (Offshore),Contract/Temp,PropNex Realty Pte Ltd,"$800 – $1,200 per month (SGD)",Not Found
Project Manager Catering,Contract/Temp,PT Pangansari Utama,,"Minimum Diploma III Food Production / Hotel Management from Reputable Hospitality Institution / UniversityMust have 5 years experience as Project Manager at international Oil, Gas & Mining company project or similar field with minimum 3 projects, of which 2 projects were in remote locations (with capacity at least 500 POB).Knowledgeable in food production and good skill in logistic planning, managing production and hotel/camp management.Extensive, practical knowledge of international standards for food handling (e.g. HACCP), to include storing, preparing, serving, and disposinHave good knowledge of catering industry HSE and Food Hygiene standards.Have a POP CertificateFluent in both spoken and written EnglishWilling to be placed in all job site areas."
Inside Sales Intern,Full time,PT Logique Digital Indonesia,Rp 1.400.000 – Rp 2.000.000 per month,"Currently pursuing or recently completed a degree in Business, Marketing, or IT-related field.Excellent verbal and written communication skills.Ability to work independently and collaboratively within a team.Strong organizational and time-management skills.Self-motivated, eager to learn, and results-driven."
Android Developer,Full time,PT Reycom Document Solusi,,Not Found
Android Developer,Full time,PT. Prima Vista Solusi,,"Bachelor’s degree in information technology/related from reputable university with GPA > 3.00.Proficiency at least 2 years experiences using one of the following programming languages: Java/Kotlin in mobile application.Working knowledge of at least one of the following: SQL, MySQL, Oracle."
HSE GROUP LEADER,Contract/Temp,PT Timur Satria Perkasa,,Not Found
Senior Key Account Sales Manager（Remote work）,Full time,Speakly AI,"Rp 25,000,000 – Rp 37,000,000 per month",Not Found
UI/UX Designer-Mobile App Focus (Full Time),Full time,Coconut Lab Pte. Ltd.,"Rp 5,500,000 – Rp 7,000,000 per month",Not Found
Sales Admin,Full time,Shieldtag,Rp 2.500.000 – Rp 3.000.000 per month,"Bersedia bekerja pada shift malam dan setengah hari/full di akhir pekan.Gelar sarjana di bidang Administrasi Bisnis atau bidang terkait merupakan nilai tambah.Memiliki pengalaman minimal 1 tahun dalam layanan pelanggan, pengembangan bisnis, penjualan, atau manajemen akun.Mampu menangani 50+ tiket per hari dan menjaga catatan yang terorganisir dengan baik.Kemampuan berpikir kritis dan perhatian terhadap detail yang kuat.Keterampilan interpersonal dan komunikasi yang luar biasa, serta memahami praktik terbaik dalam layanan pelanggan.Mahir menggunakan Microsoft Office dan perangkat lunak CRM.Bersedia mempelajari produk solusi holografik dan keamanan.Termotivasi, berorientasi pada tujuan, dan mampu bekerja secara mandiri dalam lingkungan remote.Wajib menyelesaikan masa percobaan selama 3 bulan.Bersedia untuk mulai bekerja dalam 1 minggu atau segera."
TRANSLATOR MANDARIN & ADMINISTRATION,Full time,PT Well Harvest Winning Alumina Refinery (WHW AR),,Not Found
Sales Representative,Full time,PT Woodgraft Putra Perkasa,Rp 6.000.000 – Rp 7.000.000 per month,Not Found
Assistant Group Accountant,Full time,Avant Proteins Pte Ltd,,Not Found
Sales Marketing Manager (WFH in Batam Area) - Steel Trading - Batam (B-113030),Full time,RGF HR Agent Indonesia,Rp 17.000.000 – Rp 20.000.000 per month,Not Found
Sales B2B,Contract/Temp,Private Advertiser,,Not Found
Digital Marketing Specialist (WFH),Full time,PT Billstone Luxury Indonesia,,"Bachelor’s degree in Marketing, Communications, or a related field (or equivalent experience).Minimum 2 years of proven experience in digital marketing, particularly in planning, executing, and analyzing digital ads on platforms such as Meta, Google, and online marketplaces.Strong analytical skills with the ability to interpret data, derive actionable insights, and visualize digital marketing reports using tools like Looker Studio or Power BI.Proficiency in digital marketing tools, including Google Ads, Facebook Business Manager, Google Analytics, and SEO tools.Creative thinker with the ability to generate innovative ideas for campaigns and drive engagement.Strong understanding of SEO principles and best practices to enhance online visibility.Familiarity with content management systems and email marketing platforms.Excellent written and verbal communication skills to convey insights and collaborate effectively across departments.Detail-oriented, organized, and able to manage multiple projects simultaneously.Strong teamwork and collaboration skills to work effectively with cross-functional teams."
Marketing Staff (WFH in Batam Area) - Steel Trading - Batam (B-113000),Full time,RGF HR Agent Indonesia,Rp 8.000.000 – Rp 11.000.000 per month,Not Found
Data & Market Insight Analyst,Full time,Private Advertiser,Rp 14.000.000 – Rp 20.000.000 per month,Not Found
Business Development Consultant (SEA Market) - Marine/Ocean Solutions (B-113200),Full time,RGF HR Agent Indonesia,,Not Found
Senior Digital Marketing,Full time,PT Logique Digital Indonesia,Rp 14.000.000 – Rp 20.000.000 per month,"Bachelor's degree in Marketing, Communications, Business, or a related field5+ years of experience in digital marketing, with a strong understanding of SEM, social media, and content marketingProficiency in digital marketing tools, such as Google Analytics, Google Ads, Facebook Business Manager, or similar platformsStrong analytical skills and the ability to interpret data to make informed decisionsFamiliarity with A/B testing, conversion rate optimization, and digital marketing best practicesCreative thinker with a data-driven mindsetCertifications in Google Analytics, Google Ads, or other digital marketing platforms are preferable"
Deforestation MRV Internship,Contract/Temp,"PT SMART,Tbk",,Not Found
Brand Graphic Designer,Full time,Design Elite,"Rp 8,000,000 – Rp 11,000,000 per month",Not Found
SEO Specialist Jakarta (Freelance Part-Time),Part time,Zhuan Marketing Agency Indonesia,"Rp 1,000,000 per month","Pengalaman dalam SEO, khususnya dengan platform Squarespace.Terbiasa menggunakan tools AI untuk penulisan artikel SEO dan memiliki efisiensi tinggi dalam produksi konten.Punya jaringan backlink atau akses ke channel backlink yang relevan dan berkualitas.Pemahaman mendalam tentang algoritma Google dan teknik optimasi on-page & off-page."
"Manager Central Workshop (CWS) - Placement in Nabire, Papua",Full time,PT Agro Harapan Lestari,,Not Found
Sales B2B Otomotif,Full time,PT Sunra Distributor Indonesia,Rp 4.400.000 – Rp 5.180.526 per month,Not Found
Mandarin Translator (Site Base),Contract/Temp,PT Bukit Makmur Resources,,Not Found
Sales Representative ( Work from home ),Full time,PT PCBA Semikonduktor Indonesia,Rp 4.500.000 – Rp 6.000.000 per month,"Work Arrangement: Fully remote (Work From Home).Preferred Experience: Background in sales and customer service is prioritized.Key Traits: Quick learner with the ability to adapt to new challenges.Location: Based in Cibitung, Cikarang, or Karawang.Transportation: Own transport is required for customer visits."
Assistant Project Manager (Software),Full time,PT Datacaraka Solusindo,Rp 8.300.000 – Rp 11.300.000 per month,"Candidate must possess at least Bachelor's Degree in Engineering (Computer/Telecommunication), Computer Science/Information Technology or equivalent.
Technical Skills Requirements:
At least 2 year(s) of working experience in the related field is required for this position.Familiar with software development projects.Having good understanding about IT Project Management methodologies (Waterfall, Agile, Scrum).Having good timeline and resource management skills.Certification in project management (CAPM, PMP, Project+) is a plus."
Facility Project Manager,Full time,PT Muria Sumba Manis (Sumba),,Not Found
IT Service Desk (Onsite: Yogyakarta),Full time,PT Lawencon Internasional,,"Act as the first point of contact for IT-related issues, responding to service desk tickets, phone calls, and emails.Troubleshoot hardware and software issues, including desktops, laptops, printers, and other peripherals.Diagnose and resolve basic networking issues (LAN, WAN, Wi-Fi, VPN).Assist users with problems related to Microsoft Office 365, antivirus software, and other commonly used applications.Provide support for various operating systems such as Windows, macOS, and Linux.Perform routine updates, patches, and system maintenance.Use remote desktop tools to provide support to users.Work with ticketing systems such as ServiceNow, Jira, OTRS, or Zendesk to track and manage user requests.Guide users on best practices and proper usage of IT systems.Create and update knowledge base articles or user guides for recurring issues.Escalate unresolved issues to appropriate IT teams and follow up to ensure resolution.Support IT projects, including hardware upgrades or system migrations.Ensure excellent customer service, demonstrating patience and professionalism even under pressure."
"Full Stack Developer (Golang, React)",Contract/Temp,PT Terra Teknologi Optima,,Not Found
Corporate Social Responsibility (CSR) Officer,Full time,Karunia Prima Nastari (KPN CORP.),,Not Found
Technical Support (Domisili Bali),Contract/Temp,PT Inovasi Anak Indonesia (Parkee),Rp 4.500.000 – Rp 5.067.381 per month,Not Found
Senior Geologist (Coal Modeling),Full time,PT. KTC COAL MINING & ENERGY,,"Bachelor degree and above from reputable university major in GeologyProfessional background of Geological Specialty Engineer or expertisePreferred minimum 10 years experience as coal modelling geologist (coal exploration including)Capable of operating mining, geology modelling, and resource calculation software (Minescape, Minex, Xpac. ArcGIS, GIS)In depth knowledge in resource and reserve estimation refer to JORC, KCMI, USGA, JIS, and other international referencesIn depth knowledge in coal geology comprehensively, coal proximate and ultimate analysis and development of coal feasibility and geology studyAble to generate coal geology model to becoming mine plan (especially for long term plan)Willing to be place at remote site in Kalimantan"
MEP Designer & Cost Estimator,Full time,Skhai,Rp 12.000.000 – Rp 18.000.000 per month,Not Found
