Job Title,Job Category,Company Name,Salary,Requirements,Level of Education
Sales Admin,Full time,Shieldtag,Rp 2.500.000 – Rp 3.000.000 per month,"Bersedia bekerja pada shift malam dan setengah hari/full di akhir pekan.Gelar sarjana di bidang Administrasi Bisnis atau bidang terkait merupakan nilai tambah.Memiliki pengalaman minimal 1 tahun dalam layanan pelanggan, pengembangan bisnis, penjualan, atau manajemen akun.Mampu menangani 50+ tiket per hari dan menjaga catatan yang terorganisir dengan baik.Kemampuan berpikir kritis dan perhatian terhadap detail yang kuat.Keterampilan interpersonal dan komunikasi yang luar biasa, serta memahami praktik terbaik dalam layanan pelanggan.Mahir menggunakan Microsoft Office dan perangkat lunak CRM.Bersedia mempelajari produk solusi holografik dan keamanan.Termotivasi, berorientasi pada tujuan, dan mampu bekerja secara mandiri dalam lingkungan remote.Wajib menyelesaikan masa percobaan selama 3 bulan.Bersedia untuk mulai bekerja dalam 1 minggu atau segera.",
Senior Digital Marketing,Full time,PT Logique Digital Indonesia,Rp 14.000.000 – Rp 20.000.000 per month,"Bachelor's degree in Marketing, Communications, Business, or a related field5+ years of experience in digital marketing, with a strong understanding of SEM, social media, and content marketingProficiency in digital marketing tools, such as Google Analytics, Google Ads, Facebook Business Manager, or similar platformsStrong analytical skills and the ability to interpret data to make informed decisionsFamiliarity with A/B testing, conversion rate optimization, and digital marketing best practicesCreative thinker with a data-driven mindsetCertifications in Google Analytics, Google Ads, or other digital marketing platforms are preferable",
SEO Specialist Jakarta (Freelance Part-Time),Part time,Zhuan Marketing Agency Indonesia,"Rp 1,000,000 per month","Pengalaman dalam SEO, khususnya dengan platform Squarespace.Terbiasa menggunakan tools AI untuk penulisan artikel SEO dan memiliki efisiensi tinggi dalam produksi konten.Punya jaringan backlink atau akses ke channel backlink yang relevan dan berkualitas.Pemahaman mendalam tentang algoritma Google dan teknik optimasi on-page & off-page.",
Sales Representative ( Work from home ),Full time,PT PCBA Semikonduktor Indonesia,Rp 4.500.000 – Rp 6.000.000 per month,"Work Arrangement: Fully remote (Work From Home).Preferred Experience: Background in sales and customer service is prioritized.Key Traits: Quick learner with the ability to adapt to new challenges.Location: Based in Cibitung, Cikarang, or Karawang.Transportation: Own transport is required for customer visits.",
Assistant Project Manager (Software),Full time,PT Datacaraka Solusindo,Rp 8.300.000 – Rp 11.300.000 per month,"Candidate must possess at least Bachelor's Degree in Engineering (Computer/Telecommunication), Computer Science/Information Technology or equivalent.
Technical Skills Requirements:
At least 2 year(s) of working experience in the related field is required for this position.Familiar with software development projects.Having good understanding about IT Project Management methodologies (Waterfall, Agile, Scrum).Having good timeline and resource management skills.Certification in project management (CAPM, PMP, Project+) is a plus.",
Operations Manager (Bali Placement),Full time,PT Think Global Bali,Rp 16.000.000 – Rp 18.250.000 per month,3+ years of experience in a similar roleProficiency with Microsoft OfficeStrong organizational and communication skillsStrong ability to multitaskComfort working with multiple groups within businessQuick learning ability and ability to guide other's work,
Senior & Junior Surveyor,Full time,Penyelidikan Geoteknik Indonesia,Rp 6.000.000 – Rp 9.000.000 per month,"Min. S1 GeodesiMampu mengoperasikan dan mengolah data Total Station, GPS Geodetic, dan Waterpass atau auto levelMampu mengoperasikan droneMemiliki SKK Geodesi Jenjang 7 (Sangat diutamakan)Mampu bekerja diremote area",
Fresh Graduate Management Training Program,Full time,Deliveree (PT Angkut Teknologi Indonesia),"Rp 5,000,000 – Rp 5,250,000 per month","Undergraduate GPA of 3.0 or higher from any majorFresh graduates or candidates with 1-2 years of experience are welcome to applyExcellent English skillsExcellent speaking and writing skillsSelf-motivated, independent, and hard-workingStrong reasoning, logic, and analysis skills",
Junior Accountant,Full time,PT EDPMEDIA Multimitra Primanusa,Rp 8.500.000 – Rp 9.500.000 per month,"Sarjana Akuntansi Strata satu (S1) , IPK kumulatif minimal 3.5Pengalaman kerja yang relevan  2 tahun, bagi yang berdomisili di Jakarta Barat akan di utamaka",
Swift Developer,Full time,PT Jawa Soft,"Rp 8,000,000 – Rp 12,000,000 per month","Proven experience with SwiftUI, ideally for MacOS developmentStrong knowledge of Swift and Objective-C programming languagesFamiliarity with Core Data for data persistence and managementExcellent problem-solving skills and a keen eye for detailStrong written and verbal communication skills in English",
Young Professionals Fast Track,Full time,Deliveree (PT Angkut Teknologi Indonesia),"Rp 6,000,000 – Rp 9,000,000 per month","Undergraduate GPA 3.0 or higher6-24 months of full-time work experience (contract work is acceptable)Excellent English skillsExcellent speaking and writing skillsSelf-motivated, independent, and hard-workingStrong reasoning, logic, and analysis skills",
Cloud Engineer (Kubernetes),Contract/Temp,PT Karya Solusi Prima Sejahtera,Rp 9.000.000 – Rp 9.500.000 per month,"Cloud Services :  Understanding of Infrastructure as a Service (IaaS) and Platform as a Service (PaaS)Virtualization : deep Understanding of Virtualization concept such as VMware and OpenstackNetworking : understanding of networking concepts and protocols, can implement basic switching and routingStorage : having knowledge to configure  SAN and NAS StorageContainerization : Having knowledge to Provisioning and management of container orchestration platforms, such as Kubernetes, to automate deployment, scaling, and management of containerized applicationsSecurity : understanding of cloud security principlesOperating System : having knowledge to configure basic administration of windows server and linux server , for example : config IP Address, remote Desktop, ssh, firewall and LVMHardware Management : having knowledge to Maintaining an up-to-date inventory of hardware assets, including servers, Storage, GPU , networking equipment, and peripherals.",
Supervision,Full time,PT Daikin Airconditioning Indonesia,Rp 9.500.000 – Rp 10.700.000 per month,"Diploma/ Bachelor Degree From EngineeringGood ability on Microsoft Office,Detail oriented, fast-learner, and team playerGood English Communication Skill",
Graphic Designer Jakarta (Freelance Part Time),Part time,Zhuan Marketing Agency Indonesia,Rp 1.000.000 per month,"Mahir menggunakan Canva, mampu memanfaatkan template dengan baik tanpa harus mulai dari nol setiap saat.Fast response: siap memberikan respons cepat untuk setiap revisi atau request.Pengalaman membuat desain yang menarik dan kreatif untuk media sosial.Siap mendesain sekitar 50 feed per bulan untuk satu brand, fokus pada kualitas dan konsistensi visual.",
Indonesian VA - Link Building Assistant,Full time,REBEL Internet BV,"Rp 3,000,000.00 per Month","Minimum of 2 years of experience working online in SEO or a related field.
Proficient in English, with excellent written communication skills.
Familiarity with Trello.
Strong attention to detail and ability to follow instructions.",
Outbound Sales Representative,Full time,Fausto Automation,"Rp 3,500,000 per month","* At least 1 year of sales experience, cold-calling experience is a plus.
* Excellent communication skills in English, both written and verbal.
* Results-driven with a track record of performing well in high-paced, goal-oriented environments.
* Experience with CRM tools is a plus.",
admin,Full time,Private Advertiser,Rp 2.000.000 – Rp 3.000.000 per month,•Language Skills:Excellent written and spoken English is essential. You should be able to write fluently and confidently to match the platform’s professional and engaging tone.,
Staff Techonology IT.,Full time,PT Biota Laut Ganggang (Pinrang),Rp 3.434.298 – Rp 5.151.447 per month,"Pendidikan minimal S1 dalam bidang Komputer, Jaringan, atau TelekomunikasiPengalaman kerja terkait minimal 1 tahun, mampu menggunakan bahasa Inggris dasar untuk komunikasi harian dan tulisanMemiliki pengalaman dalam implementasi proyek jaringan dan mampu menyelesaikan perubahan dan pemeliharaan jaringan secara mandiri adalah nilai tambahMenguasai produk jaringan dari Mikrotik, Cisco, UBNT, dan mampu mengonfigurasi serta menguji router, switch, firewall, dan produk jaringan lainnyaJujur dan dapat dipercaya, ramah, memiliki sikap positif, bekerja dengan serius dan bertanggung jawab, memiliki semangat kerja keras, inisiatif tinggi dalam melayani, serta kemampuan teknis yang baikMemahami metode analisis diagnosis masalah/kerusakan/potensi risiko jaringan, serta metode optimalisasi kinerja dan kualitas jaringanMemiliki pengetahuan dasar tentang listrik lemah dan pengalaman kerja terkaitMemahami teknik penanganan masalah sehari-hari untuk sistem akses kontrol dan pengawasan videoMenguasai perangkat keras dan perangkat lunak komputer serta perangkat IT kantor lainnya",
Property Sales Specialist (Remote),Full time,Rosaria Villas,Rp 1.500.000 – Rp 2.000.000 per month,"Valid real estate broker license in the relevant jurisdiction.Proven experience in lead generation and real estate sales.Excellent communication, networking, and negotiation skills.Ability to work independently and handle multiple priorities.Familiarity with real estate CRM and lead management tools.
Preferred Skills:
Expertise in digital marketing for lead generation.Experience in luxury or commercial property markets.Fluency in multiple languages is a plus.",
Team Manager (Fully Remote),Full time,My Free Course,"Rp 10,172,619 – Rp 15,258,928 per month","Bachelor's degree or equivalent.At least 5 years+ of experience in a team management role and/or higher.Fluency in English, both written and spoken.Excellent communication and interpersonal skills.Strong leadership and organisational abilities.Proven ability to manage multiple projects simultaneously.Experience working remotelyExperience in Google Workspaces and Microsoft Software (Word, Excel and PowerPoint)Experience with CRM systemsUnderstanding of KPIs and performance managementA strong understanding and proven track record in sales and real-world experience of this.",
Accounting Executive,Full time,PT JAY ISLAND GROUP,Rp 7.000.000 – Rp 10.000.000 per month,"Proficiency in accounting software (Xero).Strong analytical and problem-solving skills.Excellent attention to detail and accuracy.Ability to work under pressure and meet tight deadlines.Proficiency in Microsoft Office Suite, especially Excel.A strong cultural fit with the Company, exhibiting adaptability, integrity, and a robust work ethic.Demonstrated commitment to ethical behavior and alignment with the Company's core values of ownership, transparency, and progressiveness.",
senior marketing,Full time,Siloina,Rp 7.000.000 – Rp 10.000.000 per month,"Proven experience as a Marketing Assistant or in a similar digital marketing role.Proficiency in WordPress, including basic website maintenance and SEO optimisation.Strong skills in Google Ads and Meta Ads (Facebook/Instagram), with a good understanding of targeting, bidding, and performance tracking.Experience creating and scheduling social media content across multiple platforms.Knowledge of digital marketing analytics tools (Google Analytics, Meta Insights) to evaluate and report on campaign success.Ability to conduct thorough competitor research and provide data-driven recommendations.Excellent organisational skills, attention to detail, and ability to manage multiple tasks effectively.Strong communication and teamwork skills with a proactive, self-starting attitude.",
Customer Service Agent,Full time,Deliveree (PT Angkut Teknologi Indonesia),"Rp 5,000,000 – Rp 6,000,000 per month","No minimum or maximum year of working experienceMinimum education of a 3-year diploma degree (D3) or aboveGPA 3.0 or higherAll majors welcome to applyGood English skillsGood speaking and writing skillsFast typing skillsWilling to work on shifted scheduleSelf-motivated, independent, and hardworkingMultitasking skills and detail-oriented",
Developer,Full time,My Free Course,"Rp 10,000,000 – Rp 15,000,000 per month","Proven experience with React.js and its core principlesStrong proficiency in TypeScript and modern JavaScript (ES6+)Excellent knowledge of HTML5 and CSS3Experience working with RESTful APIs and integrating third-party servicesFamiliarity with Zapier and its integration capabilitiesSolid understanding of responsive design and cross-browser compatibilityVersion control with GitBachelor's degree in Computer Science, Software Engineering, or related field (or equivalent work experience)
Experience with state management libraries (e.g., Redux, MobX)Knowledge of server-side rendering and Next.jsUnderstanding of CI/CD pipelines and DevOps practicesExperience with unit testing frameworks (e.g., Jest, React Testing Library)Knowledge of UI/UX design principlesFamiliarity with Agile development methodologiesExperience with cloud platforms (e.g., AWS, Azure, or Google Cloud)
Must be fluent in both spoken and written English (to a very high level)Strong problem-solving skills and attention to detailExcellent communication and teamwork abilitiesSelf-motivated and able to work independently when requiredPassion for staying updated with the latest web development trends and technologiesAbility to manage multiple projects and prioritize tasks effectively",
HR Finance Admin,Full time,NV5 Limited,"Rp 7,000,000 – Rp 10,000,000 per month","• Bachelor’s degree in Human Resources, Finance, Business Administration, or a related field• Minimum of 2 years of experience in Finance and/or HR administration• Strong proficiency in English, both written and verbal• Excellent organizational and multitasking abilities• Strong attention to detail and problem-solving skills• Ability to work independently and as part of a team",
DevOps - Remote,Full time,Indo Ned Consultancy Company,Rp 7.000.000 – Rp 9.000.000 per month,"Excellent communication skills in both English and Indonesian language.Be able to work remotely, a good internet connections is required.Work on Dutch time.Excellent understanding of Linux system administration, specifically Ubuntu, and network protocols.Strong knowledge of cloud platforms and related infrastructure services.Proficiency in scripting languages (e.g., Bash, Python) to automate repetitive tasks.Understanding of security best practices and tools to ensure safe deployments.Familiarity with containerization and orchestration tools like Docker and Kubernetes.2+ years of experience in DevOps, Systems Administration, or Site Reliability Engineering.Hands-on experience with CI/CD tools.Experience in monitoring, logging, and alerting solutions.Able to communicate in English to work collaboratively across different teams and stakeholders.Ability to work independently, problem-solve, and take ownership of projects and initiatives.Experience with configuration management and automation tools such as Terraform, Ansible, Chef, or CloudFormation.Familiarity with database management and optimization in MySQL, PostgreSQL, or NoSQL databases.
If you want to apply for this vacancy, please apply in English with your resume and motivation and we will get in touch soon. A test will be part of the selection process.",
UI/UX Designer (Remote/WFH),Full time,RemoHires,Rp7.000.000 – Rp9.000.000 per month,"Proven experience as a UI/UX Designer with a strong portfolio showcasing web and mobile projects.Expertise in Figma for prototyping, collaboration, and asset management.Strong understanding of modern design principles, accessibility, and usability.Experience designing for community-based platforms or gamified systems is a plus.Excellent communication skills to articulate design decisions and collaborate with cross-functional teams.Ability to balance creativity with user needs and technical constraints.
Preferred Skills:
Knowledge of gamification principles and their application in UI/UX design.Basic understanding of front-end development (HTML/CSS/JS) to collaborate effectively with developers.Familiarity with designing for moderation tools and reporting systems.",
Dokter kandungan spOG Gynaecologist,Casual/Vacation,Wearology,Rp 3.333.333 – Rp 5.000.000 per month,"- Lulusan Spesialis Kandungan
- Fresh Graduate
- Memiliki STR Aktif",
Inside Sales Specialist,Full time,MCLINK COPY SERVICES PHILIPPINES INC.,"Rp 8,000,000 – Rp 10,000,000 per month","Bachelor’s degree in Business, IT, or a related field (preferred).Experience in inside sales, ideally in copier, IT, or ERP industries.Strong communication, negotiation, and organizational skills.Tech-savvy with the ability to learn and explain technical solutions.Goal-oriented, self-motivated, and able to thrive in a remote sales environment.Preferably can speak mandarin
This position is perfect for sales professionals with a passion for technology, excellent interpersonal skills, and a results-driven approach to business growth.",
"Backend - Frontend Web Developer (.NET Core, Golang, Laravel, NestJS, NuxtJS...",Full time,Rolling Glory - Creative Digital Enabler,Rp 6.700.000 – Rp 10.000.000 per month,"have experience in development of rich, responsive, and multiplatform Web application,have a good understanding in how internet technology and web application works,have a good grasp of software engineering and is interest in creative product development,has awareness of user experience and a good taste in design,is passionate to be involved in development of high quality creative digital application, andwants to work in a studio with fun and positive atmosphere together with friendly and passionate people.have a good understanding in backend app and REST API server development,have a good knowledge in PHP frameworks: Laravel, Yii2, or a good knowledge in NodeJS, ExpressJS, NestJS, Java Spring Boot, Go Lang, .NET Corehave an experience in infrastructure like AWS or Azure and Docker or Kubernetes is a plus.have a good understanding in HTML, CSS, Bootstrap, and jQuery,have a knowledge and experience in ReactJS, VueJS, NuxtJS.have a good understanding in development of modular UI architecture,have a good understanding in html tag semantic and how to make SEO-friendly web,have a good taste in design and UX.",
Sales Specialist (remotely),Full time,PT. MATCH MAKERS AGENCY,Rp 4.000.000 – Rp 5.500.000 per month,"Proficiency in EnglishMinimum of 2 years of experience in sales, particularly in servicesEnergetic and reliableStrong communication and negotiation skills",
Sales Engineer - HVAC,Full time,PT Inti Solusi Energi,Rp 13.000.000 – Rp 18.000.000 per month,"1-2 years of experience as a Sales Engineer, preferably with HVAC-related products.Familiarity with project and construction workflows, with a strong understanding of key decision-makers in building projects.An engineering background in VRV, VRF, HVAC, chillers, or cooling systems is highly desirable.Strong communication and presentation skills, with fluency in English or Chinese.Willingness to travel as needed. Must be based in Indonesia or nearby areas.",
Functional Consultant (Finance / Supply Chain Industry),Contract/Temp,PT. Elabram Systems,"Rp 18,000,000 – Rp 20,000,000 per month","Experience with Process manufacturing.Background expertise in ERP Finance & Supply Chain including system configuration.Strong analytical skills with the ability to translate business requirements into technical specifications (documentation) with an emphasis toward highly available and scalable global solutions.Have a broad understanding of technical solution components, such as Windows operating systems, networks, application server, data base server, remote access tools, and file delivery solutions within Information technology.Understand fundamentals of project management and execution.Language – Comfortable in English & Local Language.Previous experience with ERP implementation (Dynamics365 or Ax2012)Previous experience with Azure DevOps and similar tools.D365 F&SC certification.Understand data integrations in the context of an ERP.Familiar with third party services for the Finance & Supply Chain industry, such as warehouse automation or transportation service.Exposure to Lean Manufacturing processes.Working knowledge of data analytical tools and SQL experience is a plus.General knowledge of accounting principles and experience in a manufacturing environment is beneficial.",
IT Project Manager,Full time,PT Logique Digital Indonesia,Rp 15.000.000 – Rp 20.000.000 per month,"Minimum of 3 years of experience as an IT Project Manager.Fluent in English (a plus).Strong experience in project management and implementation of the latest technologies in web development and mobile applications.Ability to manage projects from Initiating, Planning, Executing, Monitoring, and Controlling to Closing phases.Proficient in budgeting and presales.Strong research skills related to market trends, client competitors, and the ability to provide sound advice to clients.Knowledgeable and skilled in Agile project management methodologies.Familiarity with or experience in automotive projects is a plus.Background as a software engineer is an added advantage.",
Proshop Supervision,Full time,PT Daikin Airconditioning Indonesia,Rp 10.000.000 – Rp 10.500.000 per month,"Candidate must posses at least diploma/bachelor degree in Electrical EngineeringGood ability on Ms. Office and AutocadFamiliar with HVAC systemDetail oriented, fast-learner, and team playerWilling to work based on project hoursGood communicationWork on multiple projects simultaneouslyPlacement :  Sudirman",
"Developer (Web, App, and Full Stack)",Full time,Dentalverse,"Rp 7,000,000 – Rp 9,000,000 per month","Bachelor's degree in Computer Science, Information Technology, or a related field.
Minimum of 2 years of experience as a Web Developer.
Proficiency in HTML5, CSS3, JavaScript, and frameworks like React.js or Vue.js.
Experience with backend systems such as Node.js or Django is a plus.
Strong understanding of RESTful APIs and WebSocket.
Familiarity with CI/CD tools and version control systems like Git.",
